"email";"programChannel";"gender";"firstName";"lastName";"birthday";"countryBirth";"nationality";"postalCode";"city";"country";"diploma";"diplomaChannel";"diplomaDetails";"diplomaYear";"establishment";"establishmentPostalCode";"establishmentCity"
"monemail220003@test.test";"AST2";"M";"LOU";"BENAZO-MINIMONA ";"2001-01-24";"FRA  ";"Française";"69001";"LYON";"FRA  ";"Bachelor obtenu en France et visé par le MESR";"Préciser l'intitulé";"BACHELOR MARKETING & BUSINESS";"2019";"IDRAC BUSINESS SCHOOL";"69009";"LYON"
"monemail220004@test.test";"AST1";"M";"ELOI";"DA SILVA ";"2002-04-06";"FRA  ";"Française";"75014";"PARIS";"FRA  ";"LICENCE 2";" Autre - Préciser";"ARCHITECTURE";"2020";"ECOLE SPECIALE D'ARCHITECTURE ";"75014";"PARIS"
"monemail220006@test.test";"AST2";"M";"GEORGIOS";"PHILIPPOT";"1999-09-23";"FRA  ";"Française";"93440";"DUGNY, ÎLE-DE-FRANCE";"FRA  ";"LICENCE 3";"ADMINISTRATION ECONOMIQUE ET SOCIALE";;"2017";"UNIVERSITÉ PARIS EST CRÉTEIL ";"94000";"CRÉTEIL"
"monemail220007@test.test";"AST2";"F";"NOÉMIE";"ROUSTEAU";"2001-03-13";"FRA  ";"Française";"13320";"BOUC BEL AIR";"FRA  ";"LICENCE 3";"DROIT";;"2019";"AIX MARSEILLE UNIVERSITE";"13100";"AIX EN PROVENCE"
"monemail220009@test.test";"AST1";"F";"GEOFFRAY";"SAULNIER";"2001-03-29";"FRA  ";"Française";"80480";"PONT DE METZ";"FRA  ";"DUT";"GESTION DES ENTREPRISES ET DES ADMINISTRATIONS - GESTION COMPTABLE ET FINANCIERE";;"2020";"IUT DE L'UNIVERSITÉ JULES VERNE DE PICARDIE";"80025";"AMIENS"
"monemail220010@test.test";"AST1";"M";"GABRIEL";"PAN";"2001-12-30";"FRA  ";"Française";"91080";"EVRY-COURCOURONNES";"FRA  ";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"2020";"IUT DE SCEAUX";"92330";"SCEAUX"
"monemail220011@test.test";"AST1";"M";"ANNE JULIETTE";"LALEUW";"2000-09-11";"FRA  ";"Française";"42530";"SAINT-GENEST-LERPT";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2019";"UNIVERSITÉ LUMIERE LYON 2";"69365";"LYON"
"monemail220012@test.test";"AST1";"M";"ANTHONY";"HMAMI";"2001-12-04";"FRA  ";"Française";"59800";"LILLE";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2019";"INSTITUT SUPERIEUR D'EXPERTISE ET D'AUDIT";"59800";"LILLE"
"monemail220019@test.test";"AST2";"M";"ELINA";"HARRACHE";"2001-06-14";"FRA  ";"Française";"92250";"LA GARENNE COLOMBES";"FRA  ";"LICENCE 3";"ÉCONOMIE ET GESTION";;"2019";"UNIVERSITÉ PARIS NANTERRE";"92000";"NANTERRE"
"monemail220020@test.test";"AST1";"M";"ANDRONACHI";"BERTOLINO";"2000-12-14";"FRA  ";"Française";"44000";"NANTES";"FRA  ";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"2018";"IUT SAINT-NAZAIRE";"44600";"SAINT-NAZAIRE"
"monemail220025@test.test";"AST1";"F";"ANDRÉA ";"JANEQUIN";"2002-04-28";"FRA  ";"Française";"59126";"LINSELLES";"FRA  ";"LICENCE 2";"ÉCONOMIE ET GESTION";;"2020";"FACULTÉ DE GESTION, ECONOMIE & SCIENCES";"59800";"LILLE"
"monemail220031@test.test";"AST1";"F";"ANNE-SOPHIE";"NGOMSI";"2002-07-04";"FRA  ";"Française";"59000";"LILLE";"FRA  ";"Diplôme homologué niveau II RNCP";"ÉCONOMIE/FINANCE";;"2017";"BB";"59000";"LILLE"
