"email";"bacYear";"bacINE";"bacChannel";"bacSerie";"bacDistinction"
"monemail220003@test.test";"2019";"100589965AF";"Technologique";"STG";"3"
"monemail220004@test.test";"2020";"110826801GE";"Général";"Scientifique";"2"
"monemail220006@test.test";"2017";"2412049913J";"Général";"Scientifique";"4"
"monemail220007@test.test";"2019";"070761665CK";"Général";"Économique et social";"3"
"monemail220009@test.test";"2020";"123085730KC";"Général";"Scientifique";"1"
"monemail220010@test.test";"2020";"040019055EB";"Général";"Économique et social";"2"
"monemail220011@test.test";"2019";"123045878HH";"Général";"Scientifique";"3"
"monemail220012@test.test";"2019";"091119242DG";"Général";"Scientifique";"1"
"monemail220019@test.test";"2019";"050323532GJ";"Général";"Économique et social";"2"
"monemail220020@test.test";"2018";"205144H";"Général";"Scientifique";"4"
"monemail220025@test.test";"2020";"100985793DE";"Général";"Scientifique";"3"
"monemail220031@test.test";"2017";"1111";"Professionnel";"Autre";"2"
"monemail220032@test.test";"2020";"071490653KD";"Général";"Économique et social";"2"
"monemail220033@test.test";"2020";"080501566KC";"Général";"Économique et social";"1"
"monemail220035@test.test";"2020";;"Général";"Scientifique";"4"
"monemail220036@test.test";"2020";"7026981455W";"Général";"Économique et social";"2"
"monemail220037@test.test";"2020";"081704785GB";"Général";"Économique et social";"1"
"monemail220038@test.test";"2020";"193007311JJ";"Général";"Économique et social";"2"
"monemail220039@test.test";"2020";"100960903KC";"Général";"Scientifique";"2"
"monemail220041@test.test";"2018";"060096395FC";"Général";"Économique et social";"4"
"monemail220042@test.test";"2020";"071657276BK";"Général";"Économique et social";"2"
"monemail220043@test.test";"2020";"061078831DC";"Général";"Scientifique";"2"
"monemail220044@test.test";"2020";"081944051KE";"Général";"Économique et social";"3"
"monemail220045@test.test";"2020";;"Général";"Économique et social";"2"
"monemail220046@test.test";"2020";"100993275CB";"Général";"Scientifique";"2"
"monemail220047@test.test";"2020";"101112390CC";"Général";"Économique et social";"1"
"monemail220048@test.test";"2020";"101082320CC";"Général";"Économique et social";"3"
"monemail220049@test.test";"2020";"090968813BJ";"Général";"Économique et social";"3"
"monemail220051@test.test";"2020";"110932141GG";"Général";"Économique et social";"3"
"monemail220053@test.test";"2020";"110896837GC";"Général";"Économique et social";"3"
"monemail220055@test.test";"2020";"LIL1 WGLPJX 43";"Général";"Économique et social";"3"
"monemail220056@test.test";"2020";;"Général";"Économique et social";"2"
"monemail220057@test.test";"2020";"080298952HD";"Général";"Scientifique";"2"
"monemail220058@test.test";"2020";"111066504EJ";"Général";"Économique et social";"2"
"monemail220059@test.test";"2016";"1619980406S";"Général";"Littéraire";"4"
"monemail220060@test.test";"2019";"081825211BC";"Général";"Scientifique";"3"
"monemail220062@test.test";"2020";"090989453DK";"Général";"Scientifique";"3"
"monemail220064@test.test";"2019";"072042947CA";"Général";"Scientifique";"3"
"monemail220065@test.test";"2019";"091022957KH";"Général";"Économique et social";"4"
"monemail220066@test.test";"2020";"070275295EB";"Général";"Scientifique";"3"
"monemail220067@test.test";"2020";"070418082DJ";"Général";"Scientifique";"3"
"monemail220068@test.test";"2020";"080465265BJ";"Général";"Économique et social";"2"
"monemail220069@test.test";"2019";"111066426CK";"Général";"Économique et social";"2"
"monemail220070@test.test";"2020";"120740180JF";"Général";"Scientifique";"3"
"monemail220071@test.test";"2020";"070964962EE";"Général";"Économique et social";"2"
"monemail220072@test.test";;"01B0JT02PE6";"Professionnel";"Autre";"4"
"monemail220073@test.test";"2020";"080935390FC";"Général";"Économique et social";"3"
"monemail220075@test.test";"2018";"071865440BH";"Général";"Économique et social";"3"
"monemail220076@test.test";"2020";"101017464JC";"Général";"Scientifique";"4"
"monemail220077@test.test";"2018";"153386340FB";"Technologique";"STG";"3"
"monemail220078@test.test";"2020";"101056182GH";"Général";"Scientifique";"2"
"monemail220082@test.test";"2020";"100974977JD";"Général";"Scientifique";"2"
"monemail220084@test.test";"2020";"080386437JC";"Général";"Économique et social";"2"
"monemail220085@test.test";"2020";"071744601KB";"Général";"Économique et social";"3"
"monemail220086@test.test";"2020";"0816930335HE";"Général";"Scientifique";"2"
"monemail220087@test.test";"2019";"070781331FE";"Général";"Scientifique";"4"
"monemail220091@test.test";"2020";"081289744DK";"Général";"Scientifique";"2"
"monemail220092@test.test";"2020";"100976557FF";"Général";"Économique et social";"2"
"monemail220093@test.test";"2020";"070528665DF";"Général";"Économique et social";"1"
"monemail220094@test.test";"2020";"091119287JJ";"Général";"Scientifique";"3"
"monemail220097@test.test";"2019";"123087119GB";"Général";"Scientifique";"4"
"monemail220098@test.test";"2019";"081787298KF";"Général";"Scientifique";"2"
"monemail220099@test.test";"2020";"081892565HD";"Général";"Scientifique";"2"
"monemail220100@test.test";"2020";"110877561DF";"Général";"Littéraire";"4"
"monemail220102@test.test";"2020";"100597311DB";"Général";"Scientifique";"2"
"monemail220103@test.test";"2019";"081509717GC";"Général";"Économique et social";"4"
"monemail220104@test.test";"2019";"123006993GF";"Général";"Scientifique";"3"
"monemail220105@test.test";"2018";"090968833KF";"Général";"Économique et social";"2"
"monemail220107@test.test";"2019";"080585627DD";"Général";"Économique et social";"4"
"monemail220108@test.test";"2020";"061267367GE";"Général";"Économique et social";"2"
"monemail220109@test.test";"2020";;"Général";"Économique et social";"4"
"monemail220110@test.test";"2019";"1211012877V";"Général";"Économique et social";"4"
"monemail220111@test.test";"2020";"081822804KB";"Général";"Scientifique";"1"
"monemail220112@test.test";"2019";"7091120097L";"Général";"Économique et social";"3"
"monemail220113@test.test";"2020";"183073629KH";"Général";"Économique et social";"3"
"monemail220114@test.test";"2020";"1110676120AH";"Général";"Économique et social";"2"
"monemail220115@test.test";"2020";"061160529AJ";"Général";"Économique et social";"1"
"monemail220116@test.test";"2020";"060226425AC";"Général";"Économique et social";"3"
"monemail220118@test.test";"2020";"12017913";"Général";"Économique et social";"2"
"monemail220119@test.test";"2020";" 101151385CB";"Général";"Scientifique";"2"
"monemail220120@test.test";"2019";"070970391EH";"Général";"Économique et social";"3"
"monemail220123@test.test";"2019";"081461308GJ";"Général";"Scientifique";"3"
"monemail220125@test.test";"2020";"081252285FG";"Général";"Économique et social";"3"
"monemail220126@test.test";"2020";"101079169GK";"Général";"Économique et social";"1"
"monemail220127@test.test";"2020";"110837457HJ";"Général";"Économique et social";"2"
"monemail220128@test.test";"2019";;"Général";"Scientifique";"1"
"monemail220129@test.test";"2016";"0CPZSR1QID5";"Général";"Économique et social";"4"
"monemail220130@test.test";"2018";"060374205FA";"Général";"Scientifique";"3"
"monemail220131@test.test";"2019";"071089873GK";"Général";"Scientifique";"3"
"monemail220132@test.test";"2020";"090837213JG";"Général";"Scientifique";"2"
"monemail220133@test.test";"2019";"070593908HD";"Général";"Économique et social";"2"
"monemail220135@test.test";"2019";"081950535BC";"Général";"Scientifique";"3"
"monemail220136@test.test";"2020";"070681327F";"Général";"Économique et social";"1"
"monemail220137@test.test";"2020";"100728059DK";"Général";"Économique et social";"2"
"monemail220138@test.test";"2019";"M623546380";"Général";"Économique et social";"2"
"monemail220139@test.test";"2020";"120567098CC";"Général";"Économique et social";"3"
"monemail220140@test.test";"2017";"2510046286F";"Général";"Scientifique";"1"
"monemail220141@test.test";"2019";"071238649KB";"Général";"Économique et social";"1"
"monemail220142@test.test";"2018";"0JQT0U01PQ6";"Professionnel";"Autre";"4"
"monemail220143@test.test";"2019";"050233734EE";"Général";"Scientifique";"3"
"monemail220144@test.test";"2019";"081225147DE";"Technologique";"STG";"2"
"monemail220146@test.test";"2019";"090614085BH";"Général";"Économique et social";"4"
"monemail220147@test.test";"2020";"070380232FJ";"Général";"Économique et social";"2"
"monemail220148@test.test";"2019";"070597009HG";"Général";"Économique et social";"3"
"monemail220149@test.test";"2019";"7016119499X";"Général";"Économique et social";"2"
"monemail220150@test.test";"2017";"2510029375Z";"Général";"Scientifique";"4"
"monemail220152@test.test";"2017";"2314023058E";"Général";"Économique et social";"1"
"monemail220154@test.test";"2019";;"Général";"Économique et social";"4"
"monemail220156@test.test";"2020";"090754830BK";"Général";"Scientifique";"2"
"monemail220157@test.test";"2019";"061363358AG";"Général";"Économique et social";"3"
"monemail220158@test.test";"2019";"100987891HA";"Général";"Scientifique";"1"
"monemail220160@test.test";"2018";"2309015456J";"Général";"Économique et social";"4"
"monemail220161@test.test";"2020";"080869306HK";"Général";"Économique et social";"2"
"monemail220164@test.test";"2019";"197121004223";"Général";"Économique et social";"2"
"monemail220165@test.test";"2017";"0114015907J";"Général";"Scientifique";"4"
"monemail220167@test.test";"2020";"080511152BC";"Général";"Économique et social";"2"
"monemail220168@test.test";"2020";"081504849JA";"Général";"Scientifique";"1"
"monemail220169@test.test";"2017";"2315902857P";"Général";"Scientifique";"3"
"monemail220170@test.test";"2019";"081682084GE";"Général";"Économique et social";"3"
"monemail220171@test.test";"2019";"0G415U02HJ9";"Technologique";"STG";"2"
"monemail220172@test.test";"2019";"081136775DK";"Général";"Scientifique";"4"
"monemail220173@test.test";"2020";"100971897FK";"Général";"Économique et social";"3"
"monemail220174@test.test";"2019";"071856902BK";"Général";"Scientifique";"3"
"monemail220175@test.test";"2019";"123040109CG";"Général";"Scientifique";"3"
"monemail220178@test.test";"2019";"080649541EC";"Général";"Économique et social";"3"
"monemail220180@test.test";"2019";"100987992GG";"Général";"Économique et social";"3"
"monemail220181@test.test";"2017";"1310020126V";"Général";"Économique et social";"4"
"monemail220182@test.test";"2019";"101023109GD";"Général";"Scientifique";"3"
"monemail220183@test.test";"2020";"060268895BJ";"Général";"Économique et social";"1"
