"email";"bacSupYear";"bacSupDiploma";"bacSupDiplomaChannel";"bacSupDiplomaDetails";"bacSupEstablishment";"bacSupEstablishmentPostalCode";"bacSupEstablishmentCity";"bacSupEstablishmentCountry";"schoolReportType";"schoolReportAverage1";"schoolReportSavedAverage1";"schoolReportAverageNonStandard1";"schoolReportMedia1Status";"schoolReportAverage2";"schoolReportSavedAverage2";"schoolReportAverageNonStandard2";"schoolReportMedia2Status";"bacSupDual";"bacSupDualDiploma";"bacSupDualDiplomaChannel";"bacSupDualDiplomaDetails";"bacSupDualEstablishment";"bacSupDualEstablishmentPostalCode";"bacSupDualEstablishmentCity";"bacSupDualEstablishmentCountry";"bacSupDualSchoolReportType";"bacSupDualSchoolReportAverage1";"bacSupDualSchoolReportSavedAverage1";"bacSupDualSchoolReportAverageNonStandard1";"bacSupDualSchoolReportMedia1Status";"bacSupDualSchoolReportAverage2";"bacSupDualSchoolReportSavedAverage2";"bacSupDualSchoolReportAverageNonStandard2";"bacSupDualSchoolReportMedia2Status"
"monemail220003@test.test";"2020";"Bachelor obtenu en France et visé par le MESR";"Préciser l'intitulé";"BACHELOR MARKETING & BUSINESS";"IDRAC BUSINESS SCHOOL";"69009";"LYON";"FRA";"Annuel";"13.48";"13.48";"0";"approved";"13.48";"13.48";"0";"approved";"1";;;;;;;;;;;;;;;;
"monemail220004@test.test";"2021";"LICENCE 2";" Autre - Préciser";"ARCHITECTURE";"ECOLE SPECIALE D'ARCHITECTURE ";"75014";"PARIS";"FRA";"Semestriel";"15.80";"15.80";"0";"approved";"14.80";"14.80";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220006@test.test";"2018";"LICENCE 3";"ADMINISTRATION ECONOMIQUE ET SOCIALE";;"UNIVERSITÉ PARIS EST CRÉTEIL ";"94000";"CRÉTEIL";"FRA";"Annuel";"13.93";"13.93";"0";"approved";"13.93";"13.93";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220007@test.test";"2020";"LICENCE 3";"DROIT";;"AIX MARSEILLE UNIVERSITE";"13100";"AIX EN PROVENCE";"FRA";"Annuel";"10.31";"10.31";"0";"approved";"10.31";"10.31";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220009@test.test";"2021";"DUT";"GESTION DES ENTREPRISES ET DES ADMINISTRATIONS - GESTION COMPTABLE ET FINANCIERE";;"IUT DE L'UNIVERSITÉ JULES VERNE DE PICARDIE";"80025";"AMIENS";"FRA";"Annuel";"14.81";"14.81";"0";"approved";"14.81";"14.81";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220010@test.test";"2021";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"IUT DE SCEAUX";"92330";"SCEAUX";"FRA";"Semestriel";"12.57";"12.57";"0";"approved";"14.16";"14.16";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220011@test.test";"2020";"LICENCE 2";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ LUMIERE LYON 2";"69365";"LYON";"FRA";"Semestriel";"6.08";"6.08";"0";"approved";"6.53";"6.53";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220012@test.test";"2020";"LICENCE 2";"ÉCONOMIE ET GESTION";;"INSTITUT SUPERIEUR D'EXPERTISE ET D'AUDIT";"59800";"LILLE";"FRA";"Annuel";"16.85";"16.85";"0";"approved";"16.85";"16.85";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220019@test.test";"2020";"LICENCE 3";"ÉCONOMIE ET GESTION";;"UNIVERSITÉ PARIS NANTERRE";"92000";"NANTERRE";"FRA";"Annuel";"10.91";"10.91";"0";"approved";"10.91";"10.91";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220020@test.test";"2019";"DUT";"TECHNIQUES DE COMMERCIALISATION";;"IUT SAINT-NAZAIRE";"44600";"SAINT-NAZAIRE";"FRA";"Semestriel";"11.85";"11.85";"0";"approved";"10.96";"10.96";"0";"approved";"0";;;;;;;;;;;;;;;;
"monemail220025@test.test";"2021";"LICENCE 2";"ÉCONOMIE ET GESTION";;"FACULTÉ DE GESTION, ECONOMIE & SCIENCES";"59800";"LILLE";"FRA";"Annuel";"14.13";"14.13";"0";"approved";"14.13";"14.13";"0";"approved";"1";;;;;;;;;;;;;;;;
