"email";"dual";"dualDiploma";"dualDiplomaChannel";"dualDiplomaDetails";"dualEstablishment";"dualEstablishmentPostalCode";"dualEstablishmentCity";"secondLanguageExam";"sport";"sportLevel";"scholarShip";"scholarShipLevel";"tt"
"monemail220003@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"1"
"monemail220004@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220006@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220007@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220009@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220010@test.test";"0";;;;;;;"Italien";"0";;"0";;"0"
"monemail220011@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220012@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220019@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220020@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220025@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220031@test.test";"0";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220032@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220033@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220035@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220036@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220037@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220038@test.test";"1";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220039@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220041@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220042@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220043@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220044@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220045@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220046@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220047@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220048@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220049@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220051@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220053@test.test";"1";;;;;;;NULL;"0";;"0";;"1"
"monemail220055@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220056@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220057@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220058@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220059@test.test";"1";;;;;;;"Chinois";"0";;"0";;"0"
"monemail220060@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220062@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220064@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220065@test.test";"0";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220066@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220067@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220068@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220069@test.test";"1";;;;;;;"Italien";"0";;"0";;"0"
"monemail220070@test.test";"0";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220071@test.test";"0";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220072@test.test";"1";;;;;;;"Chinois";"0";;"0";;"0"
"monemail220073@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220075@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220076@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220077@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220078@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220082@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220084@test.test";"0";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220085@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220086@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220087@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220091@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220092@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220093@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220094@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220097@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220098@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220099@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220100@test.test";"1";;;;;;;"Allemand";"0";;"1";;"0"
"monemail220102@test.test";"0";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220103@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220104@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220105@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220107@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220108@test.test";"1";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220109@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220110@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220111@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220112@test.test";"0";;;;;;;"Arabe Littéral";"0";;"0";;"0"
"monemail220113@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220114@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220115@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220116@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220118@test.test";"1";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220119@test.test";"0";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220120@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220123@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220125@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220126@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220127@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220128@test.test";"1";;;;;;;"Arabe Littéral";"0";;"0";;"0"
"monemail220129@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220130@test.test";"0";;;;;;;"Allemand";"0";;"1";;"0"
"monemail220131@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220132@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220133@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220135@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220136@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220137@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220138@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220139@test.test";"1";;;;;;;"Italien";"0";;"0";;"0"
"monemail220140@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220141@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220142@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220143@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220144@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220146@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220147@test.test";"1";;;;;;;"Italien";"0";;"1";;"0"
"monemail220148@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220149@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220150@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220152@test.test";"1";;;;;;;"Italien";"0";;"0";;"1"
"monemail220154@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220156@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220157@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220158@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220160@test.test";"1";;;;;;;"Italien";"0";;"1";;"0"
"monemail220161@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220164@test.test";"1";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220165@test.test";"1";;;;;;;"Allemand";"0";;"1";;"0"
"monemail220167@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220168@test.test";"1";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220169@test.test";"1";;;;;;;"Italien";"0";;"0";;"0"
"monemail220170@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220171@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220172@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220173@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220174@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220175@test.test";"0";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220178@test.test";"0";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220180@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220181@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220182@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220183@test.test";"1";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220184@test.test";"0";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220186@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220187@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220188@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220189@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220190@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220191@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220193@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220194@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220195@test.test";"1";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220197@test.test";"0";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220199@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220200@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220201@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220202@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220203@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220204@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220205@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220206@test.test";"1";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220207@test.test";"0";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220208@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220209@test.test";"1";;;;;;;"Arabe Littéral";"0";;"0";;"0"
"monemail220210@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220211@test.test";"1";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220212@test.test";"0";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220213@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220214@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"1"
"monemail220215@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220216@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220217@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220218@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220219@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220220@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220221@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220222@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220224@test.test";"1";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220225@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220226@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220227@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220228@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220229@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220231@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220232@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220233@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220234@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220236@test.test";"0";;;;;;;"Arabe Littéral";"0";;"0";;"0"
"monemail220237@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220238@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220239@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220240@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220241@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220242@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220243@test.test";"0";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220244@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220246@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220247@test.test";"0";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220248@test.test";"0";;;;;;;"Allemand";"0";;"0";;"0"
"monemail220249@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220251@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220252@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220253@test.test";"0";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220254@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220255@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220256@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220257@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220259@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220260@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220262@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220263@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220264@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220265@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220266@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220267@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220268@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220269@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220271@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220272@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220273@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220274@test.test";"0";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220275@test.test";"1";;;;;;;"Pas de LV2";"0";;"1";;"0"
"monemail220276@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220277@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220278@test.test";"1";;;;;;;"Espagnol";"0";;"1";;"0"
"monemail220279@test.test";"1";;;;;;;"Espagnol";"0";;"0";;"0"
"monemail220281@test.test";"0";;;;;;;"Pas de LV2";"0";;"0";;"0"
"monemail220282@test.test";"1";;;;;;;"Pas de LV2";"0";;"0";;"0"
