"email";"typeExam";"score"
"monemail220003@test.test";"2";"257"
"monemail220003@test.test";"4";"910"
"monemail220004@test.test";"1";"133"
"monemail220004@test.test";"4";"960"
"monemail220006@test.test";"2";"213"
"monemail220006@test.test";"4";"885"
"monemail220007@test.test";"2";"147"
"monemail220007@test.test";"4";"895"
"monemail220009@test.test";"1";"92"
"monemail220009@test.test";"4";"850"
"monemail220010@test.test";"1";"100"
"monemail220010@test.test";"4";"970"
"monemail220011@test.test";"1";"93"
"monemail220011@test.test";"4";"775"
"monemail220012@test.test";"1";"126"
"monemail220012@test.test";"4";"925"
"monemail220019@test.test";"2";"240"
"monemail220019@test.test";"4";"955"
"monemail220020@test.test";"1";"135"
"monemail220020@test.test";"4";"970"
"monemail220025@test.test";"1";"103"
"monemail220025@test.test";"4";"830"
"monemail220031@test.test";"4";"123"
"monemail220032@test.test";"1";"117"
"monemail220032@test.test";"4";"785"
"monemail220033@test.test";"1";"93"
"monemail220033@test.test";"4";"800"
"monemail220035@test.test";"1";"76"
"monemail220035@test.test";"4";"665"
"monemail220036@test.test";"1";"118"
"monemail220036@test.test";"4";"710"
"monemail220037@test.test";"1";"75"
"monemail220037@test.test";"4";"660"
"monemail220038@test.test";"1";"107"
"monemail220038@test.test";"4";"960"
"monemail220039@test.test";"1";"123"
"monemail220039@test.test";"4";"970"
"monemail220041@test.test";"2";"227"
"monemail220041@test.test";"4";"935"
"monemail220042@test.test";"1";"116"
"monemail220042@test.test";"4";"895"
"monemail220043@test.test";"1";"87"
"monemail220043@test.test";"4";"720"
"monemail220044@test.test";"1";"131"
"monemail220044@test.test";"4";"870"
"monemail220045@test.test";"1";"92"
"monemail220045@test.test";"4";"705"
"monemail220046@test.test";"1";"112"
"monemail220046@test.test";"4";"870"
"monemail220047@test.test";"1";"99"
"monemail220047@test.test";"4";"975"
"monemail220048@test.test";"1";"116"
"monemail220048@test.test";"4";"795"
"monemail220049@test.test";"1";"106"
"monemail220049@test.test";"4";"805"
"monemail220051@test.test";"1";"104"
"monemail220051@test.test";"4";"680"
"monemail220053@test.test";"1";"101"
"monemail220053@test.test";"4";"825"
"monemail220055@test.test";"1";"92"
"monemail220055@test.test";"4";"730"
"monemail220056@test.test";"1";"96"
"monemail220056@test.test";"4";"780"
"monemail220057@test.test";"1";"126"
"monemail220057@test.test";"4";"900"
"monemail220058@test.test";"1";"101"
"monemail220058@test.test";"4";"900"
"monemail220059@test.test";"2";"227"
"monemail220059@test.test";"4";"895"
"monemail220060@test.test";"2";"257"
"monemail220060@test.test";"4";"975"
"monemail220062@test.test";"1";"82"
"monemail220062@test.test";"4";"835"
"monemail220064@test.test";"2";"323"
"monemail220064@test.test";"4";"950"
"monemail220065@test.test";"2";"173"
"monemail220065@test.test";"4";"455"
"monemail220066@test.test";"1";"103"
"monemail220066@test.test";"4";"615"
"monemail220067@test.test";"1";"105"
"monemail220067@test.test";"4";"700"
"monemail220068@test.test";"1";"106"
"monemail220068@test.test";"4";"975"
"monemail220069@test.test";"2";"260"
"monemail220069@test.test";"4";"915"
"monemail220070@test.test";"8";"68"
"monemail220070@test.test";"1";"87"
"monemail220071@test.test";"1";"83"
"monemail220071@test.test";"4";"645"
"monemail220072@test.test";"2";"273"
"monemail220072@test.test";"4";"875"
"monemail220073@test.test";"1";"99"
"monemail220073@test.test";"4";"785"
"monemail220075@test.test";"2";"300"
"monemail220075@test.test";"4";"975"
"monemail220076@test.test";"1";"112"
"monemail220076@test.test";"4";"825"
"monemail220077@test.test";"2";"183"
"monemail220077@test.test";"4";"870"
"monemail220078@test.test";"1";"102"
"monemail220078@test.test";"4";"650"
"monemail220082@test.test";"1";"131"
"monemail220082@test.test";"4";"890"
"monemail220084@test.test";"1";"96"
"monemail220084@test.test";"4";"905"
"monemail220085@test.test";"1";"114"
"monemail220085@test.test";"4";"850"
"monemail220086@test.test";"1";"82"
"monemail220086@test.test";"4";"960"
"monemail220087@test.test";"2";"247"
"monemail220087@test.test";"4";"895"
"monemail220091@test.test";"1";"120"
"monemail220091@test.test";"4";"880"
"monemail220092@test.test";"1";"105"
"monemail220092@test.test";"4";"800"
"monemail220093@test.test";"1";"101"
"monemail220093@test.test";"4";"460"
"monemail220094@test.test";"1";"114"
"monemail220094@test.test";"4";"945"
"monemail220097@test.test";"2";"233"
"monemail220097@test.test";"4";"960"
"monemail220098@test.test";"2";"230"
"monemail220098@test.test";"4";"865"
"monemail220099@test.test";"1";"111"
"monemail220099@test.test";"4";"935"
"monemail220100@test.test";"1";"117"
"monemail220100@test.test";"4";"780"
"monemail220102@test.test";"1";"109"
"monemail220102@test.test";"4";"740"
"monemail220103@test.test";"1";"45"
"monemail220103@test.test";"4";"470"
"monemail220104@test.test";"1";"69"
"monemail220104@test.test";"4";"920"
"monemail220105@test.test";"2";"277"
"monemail220105@test.test";"4";"850"
"monemail220107@test.test";"2";"283"
"monemail220107@test.test";"4";"945"
"monemail220108@test.test";"1";"133"
"monemail220108@test.test";"4";"905"
"monemail220109@test.test";"1";"66"
"monemail220109@test.test";"4";"855"
"monemail220110@test.test";"2";"130"
"monemail220110@test.test";"4";"785"
"monemail220111@test.test";"1";"137"
"monemail220111@test.test";"4";"720"
"monemail220112@test.test";"2";"163"
"monemail220112@test.test";"4";"895"
"monemail220113@test.test";"1";"90"
"monemail220113@test.test";"4";"515"
"monemail220114@test.test";"1";"90"
"monemail220114@test.test";"4";"735"
"monemail220115@test.test";"1";"110"
"monemail220115@test.test";"4";"940"
"monemail220116@test.test";"1";"95"
"monemail220116@test.test";"4";"835"
"monemail220118@test.test";"1";"70"
"monemail220118@test.test";"4";"975"
"monemail220119@test.test";"1";"105"
