"email";"xpType";"xpEstablishment";"xpStartDate";"xpEndDate";"xpTimeType";"xpPartialTime";"xpDuration";"xpStatus"
"monemail220003@test.test";"international";"PREMIÈRE ";"2020-01-01";"2021-10-22";"partial";"0";"22";"accepted"
"monemail220004@test.test";"international";"STAGIAIRE ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220006@test.test";"international";"ETUDIANT ";"2020-01-01";"2022-01-20";"partial";"0";"25";"accepted"
"monemail220007@test.test";"international";"SELFIEMILIE ";"2020-01-01";"2020-11-26";"partial";"0";"11";"accepted"
"monemail220009@test.test";"international";"AVRIL-MAI ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220010@test.test";"international";"ASSISTANT ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220011@test.test";"international";"JE ";"2020-01-01";"2020-10-27";"partial";"0";"10";"accepted"
"monemail220012@test.test";"international";"LORS ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220019@test.test";"international";"PRÉLIMINAIRES ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220020@test.test";"international";"2022 ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220025@test.test";"international";"- ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220032@test.test";"international";"J'AI ";"2020-01-01";"2020-06-14";"full";"0";"5.5";"accepted"
"monemail220033@test.test";"international";"J'AI ";"2020-01-01";"2020-02-15";"full";"0";"1.5";"accepted"
"monemail220035@test.test";"international";"J'AI ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220036@test.test";"international";"-J'AI ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220037@test.test";"international";"J'ÉTAIS ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220038@test.test";"international";"UN ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220039@test.test";"international";"MAI, ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220041@test.test";"international";"EMEA ";"2020-01-01";"2021-06-24";"partial";"0";"18";"accepted"
"monemail220042@test.test";"international";"JE ";"2020-01-01";"2020-06-29";"partial";"0";"6";"accepted"
"monemail220043@test.test";"international";"J’AI ";"2020-01-01";"2020-03-01";"partial";"0";"2";"accepted"
"monemail220044@test.test";"international";"MAI/JUIN/JUILLET ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220045@test.test";"international";"PREMIÈRE ";"2020-01-01";"2020-03-31";"partial";"0";"3";"accepted"
"monemail220046@test.test";"international";"JUILLET ";"2020-01-01";"2020-01-31";"partial";"0";"1";"accepted"
"monemail220047@test.test";"international";"SCOL'AID ";"2020-01-01";"2020-05-30";"partial";"0";"5";"accepted"
"monemail220048@test.test";"international";"- ";"2020-01-01";"2021-01-25";"partial";"0";"13";"accepted"
"monemail220049@test.test";"international";"-->CDD ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
"monemail220051@test.test";"international";"•	KBANE ";"2020-01-01";"2020-07-29";"partial";"0";"7";"accepted"
"monemail220053@test.test";"international";"• ";"2020-01-01";"2020-11-26";"partial";"0";"11";"accepted"
"monemail220055@test.test";"international";"D’UNE ";"2020-01-01";"2020-04-30";"partial";"0";"4";"accepted"
